iter	Logloss
0	0.6676322869
1	0.6449220774
2	0.6243304946
3	0.606198396
4	0.5865256757
5	0.572695738
6	0.5596591259
7	0.547487765
8	0.5372674743
9	0.5274164889
10	0.5172023633
11	0.5095406119
12	0.5010974907
13	0.4941655491
14	0.487816181
15	0.4820668131
16	0.4774624081
17	0.4723590897
18	0.4661822329
19	0.4622301449
20	0.4587558675
21	0.4549270413
22	0.4514792799
23	0.4480987194
24	0.4452691586
25	0.4427149232
26	0.4390167361
27	0.4360659312
28	0.4338306221
29	0.4313616818
30	0.429637616
31	0.4281652675
32	0.4260134941
33	0.4242164787
34	0.422594284
35	0.4202711821
36	0.4186803618
37	0.4173825544
38	0.4161823868
39	0.4145510664
40	0.4130735406
41	0.4116239183
42	0.4104935919
43	0.4095315058
44	0.4081964393
45	0.4064988377
46	0.4056305637
47	0.4036766884
48	0.40275237
49	0.4020299059
50	0.4008770829
51	0.3996425668
52	0.3990456218
53	0.3984367483
54	0.3971951956
55	0.3965183286
56	0.3956772691
57	0.3949545798
58	0.3937195709
59	0.3930088711
60	0.392181454
61	0.3915837495
62	0.3899917214
63	0.3892470387
64	0.3887154426
65	0.3876715794
66	0.3870692527
67	0.3863195656
68	0.3859468612
69	0.3854046586
70	0.3848078999
71	0.3841668536
72	0.383160455
73	0.3828651874
74	0.3820782255
75	0.3816762734
76	0.3813896989
77	0.3805576826
78	0.380067147
79	0.3792995737
80	0.3787113848
81	0.3782751235
82	0.3772514495
83	0.3769103794
84	0.3765024105
85	0.3760330965
86	0.3753508293
87	0.3746385968
88	0.3742824896
89	0.3737024614
90	0.3733152067
91	0.3728382449
92	0.372466203
93	0.3720793623
94	0.3716363304
95	0.3713743708
96	0.3711390086
97	0.3707297273
98	0.3703647097
99	0.3697386839
100	0.3691611592
101	0.3689028241
102	0.3685178657
103	0.3682483311
104	0.3678579345
105	0.3676983869
106	0.3672628625
107	0.366816375
108	0.3663026995
109	0.3660505678
110	0.3657197245
111	0.3652357351
112	0.3648659835
113	0.3643804629
114	0.3641121271
115	0.3638957829
116	0.3636829996
117	0.3631547773
118	0.3629343594
119	0.3627526112
120	0.3625260469
121	0.3623630843
122	0.3621496556
123	0.3618813744
124	0.3614517163
125	0.3612553539
126	0.360900474
127	0.3604391873
128	0.3601815453
129	0.359799381
130	0.359504656
131	0.3591815974
132	0.3588840113
133	0.3585483188
134	0.358413278
135	0.3582610086
136	0.358032243
137	0.3578887282
138	0.3576503012
139	0.3573419041
140	0.3571442852
141	0.3570629887
142	0.3568842201
143	0.3565718059
144	0.3563841766
145	0.3561762728
146	0.3558760458
147	0.3556428642
148	0.355238951
149	0.3550382687
150	0.3546771453
151	0.3544938887
152	0.3542802469
153	0.3541048065
154	0.3538711118
155	0.3537691707
156	0.3535562179
157	0.3533997158
158	0.3530493439
159	0.3529009439
160	0.3525766679
161	0.3523515405
162	0.3519921216
163	0.3516345054
164	0.3514409752
165	0.3512562403
166	0.3510863339
167	0.3505624754
168	0.3502084107
169	0.3499800617
170	0.3498455618
171	0.3496504087
172	0.349487588
173	0.3492333373
174	0.3490911894
175	0.3488584431
176	0.3485273748
177	0.3483396827
178	0.3480087178
179	0.3477340868
180	0.3475935828
181	0.3474745318
182	0.3472937659
183	0.3471885257
184	0.3469212446
185	0.3466465239
186	0.3465034527
187	0.3460056802
188	0.3457376874
189	0.345487642
190	0.3453221855
191	0.3452316594
192	0.3450170299
193	0.3448289817
194	0.3446125702
195	0.3445151981
196	0.344257334
197	0.3439756469
198	0.3438643272
199	0.3436814328
200	0.3435622386
201	0.3434045359
202	0.3432358304
203	0.342772934
204	0.3423288192
205	0.3420402154
206	0.3418833437
207	0.34168932
208	0.3415931829
209	0.3414977873
210	0.3413751269
211	0.341167292
212	0.3410863993
213	0.3408506433
214	0.3407641829
215	0.3406176008
216	0.3403596262
217	0.3402181698
218	0.3400420494
219	0.3398876085
220	0.3397896386
221	0.3396302906
222	0.3394957433
223	0.3392932406
224	0.3390550415
225	0.3389052349
226	0.3387909317
227	0.3385216333
228	0.338440388
229	0.3382045161
230	0.3380154407
231	0.3378588655
232	0.3377199085
233	0.3374998569
234	0.3372880055
235	0.3369599777
236	0.3367357215
237	0.3362606214
238	0.3361812488
239	0.336077377
240	0.3358849508
241	0.3357348221
242	0.3355650259
243	0.3354233745
244	0.335143086
245	0.3350363023
246	0.334874714
247	0.3347425101
248	0.3345029029
249	0.3343660222
250	0.3342214038
251	0.3340018245
252	0.3338250879
253	0.3336562993
254	0.3335257385
255	0.3334303533
256	0.3332734828
257	0.3330602876
258	0.3329062483
259	0.3327416213
260	0.3324153987
261	0.3319750643
262	0.3317563209
263	0.3316323217
264	0.3314369134
265	0.3312968643
266	0.3311480583
267	0.3310344053
268	0.3308802039
269	0.3307723582
270	0.3303777833
271	0.3302427949
272	0.3299970554
273	0.3298262485
274	0.3296662688
275	0.3295206276
276	0.3293314026
277	0.3291191781
278	0.329007495
279	0.328814596
280	0.3285710392
281	0.3283591134
282	0.3281563238
283	0.3278317202
284	0.3276776117
285	0.3275290077
286	0.3273645881
287	0.3272192114
288	0.3270858949
289	0.3268826887
290	0.3267603901
291	0.3266238789
292	0.326501699
293	0.3263846633
294	0.326241383
295	0.3261028255
296	0.3259746612
297	0.3258185789
298	0.3256510781
299	0.3253133239
300	0.3251625564
301	0.325044914
302	0.3248776626
303	0.3247451414
304	0.3246217014
305	0.3244793775
306	0.3243127047
307	0.323967481
308	0.3238612581
309	0.3237532404
310	0.3236031825
311	0.3234046909
312	0.3232299759
313	0.3229387026
314	0.3226877758
315	0.322566099
316	0.3223900692
317	0.3222901076
318	0.3221830128
319	0.3220730949
320	0.3219286124
321	0.3217933348
322	0.3216429802
323	0.3215015832
324	0.3214150222
325	0.3212529646
326	0.321134119
327	0.321004222
328	0.320859351
329	0.3207223599
330	0.3205664265
331	0.3204330025
332	0.3202947052
333	0.320158923
334	0.3200209907
335	0.3199131298
336	0.3197452304
337	0.3195693683
338	0.3194470839
339	0.3192881086
340	0.3191189319
341	0.3189045348
342	0.3187931411
343	0.3186175117
344	0.3184953827
345	0.3183707253
346	0.3182594032
347	0.3181622405
348	0.3180192221
349	0.3178929568
350	0.3176522104
351	0.3175380499
352	0.3174216688
353	0.3172862454
354	0.3170296343
355	0.3169415905
356	0.31680479
357	0.3167001646
358	0.3165817649
359	0.3164542625
360	0.316339617
361	0.3161207183
362	0.3159803447
363	0.3158716939
364	0.3157061037
365	0.3155721646
366	0.3153744826
367	0.3152007261
368	0.3151182909
369	0.3149774005
370	0.3147282362
371	0.3145347355
372	0.3144393234
373	0.3143361337
374	0.3142362734
375	0.3140543106
376	0.3139211215
377	0.3137878572
378	0.3135935929
379	0.3134133596
380	0.3132685451
381	0.3131418678
382	0.3130227292
383	0.3128922568
384	0.3127708314
385	0.3126849249
386	0.3125611872
387	0.3124507413
388	0.3123453051
389	0.3122257702
390	0.3120024366
391	0.3118723574
392	0.3117874903
393	0.3116623825
394	0.3115514894
395	0.3113911009
396	0.311220765
397	0.3111319229
398	0.3110255624
399	0.3109256656
400	0.3107303774
401	0.3105510775
402	0.310429322
403	0.3103203778
404	0.3101827178
405	0.3100878031
406	0.3099886119
407	0.3099109076
408	0.3097965919
409	0.3097408145
410	0.3096381544
411	0.3094530077
412	0.3093575638
413	0.3091939323
414	0.3090736358
415	0.3089317907
416	0.3087467284
417	0.3086611608
418	0.3085262349
