iter	Passed	Remaining
0	154	154299
1	160	80330
2	168	55938
3	175	43761
4	182	36409
5	191	31767
6	199	28262
7	206	25571
8	214	23570
9	221	21880
10	230	20702
11	238	19661
12	246	18731
13	255	17960
14	263	17271
15	271	16726
16	281	16304
17	293	16018
18	303	15677
19	314	15422
20	328	15292
21	337	14987
22	345	14666
23	353	14382
24	362	14122
25	372	13945
26	381	13759
27	393	13647
28	403	13520
29	413	13356
30	421	13168
31	430	13024
32	440	12918
33	451	12827
34	461	12727
35	471	12613
36	480	12504
37	489	12401
38	498	12287
39	505	12141
40	516	12077
41	525	11996
42	537	11956
43	546	11882
44	557	11827
45	566	11739
46	573	11631
47	583	11577
48	592	11502
49	603	11457
50	613	11420
51	621	11326
52	639	11422
53	649	11370
54	657	11294
55	667	11248
56	675	11181
57	683	11107
58	692	11037
59	700	10973
60	707	10890
61	716	10840
62	726	10799
63	734	10747
64	745	10719
65	753	10661
66	762	10619
67	772	10585
68	783	10571
69	792	10528
70	800	10478
71	810	10444
72	819	10402
73	827	10350
74	835	10304
75	844	10262
76	851	10204
77	859	10157
78	867	10114
79	875	10068
80	883	10022
81	892	9993
82	901	9960
83	911	9941
84	920	9904
85	932	9915
86	946	9931
87	958	9938
88	975	9981
89	984	9950
90	996	9950
91	1006	9933
92	1013	9882
93	1025	9885
94	1036	9874
95	1045	9844
96	1054	9817
97	1064	9793
98	1073	9768
99	1082	9742
100	1090	9708
101	1098	9669
102	1109	9658
103	1123	9680
104	1145	9766
105	1158	9772
106	1171	9777
107	1184	9783
108	1193	9757
109	1203	9739
110	1212	9708
111	1221	9686
112	1229	9653
113	1238	9625
114	1248	9605
115	1255	9567
116	1262	9527
117	1272	9513
118	1283	9499
119	1291	9472
120	1300	9449
121	1308	9417
122	1319	9410
123	1329	9392
124	1336	9357
125	1351	9377
126	1374	9446
127	1390	9472
128	1408	9507
129	1430	9575
130	1446	9593
131	1467	9650
132	1487	9697
133	1513	9778
134	1532	9819
135	1545	9819
136	1555	9801
137	1567	9789
138	1577	9773
139	1607	9874
140	1622	9884
141	1633	9869
142	1640	9833
143	1648	9797
144	1657	9770
145	1666	9750
146	1679	9743
147	1691	9735
148	1701	9718
149	1711	9696
150	1720	9675
151	1729	9649
152	1738	9622
153	1748	9606
154	1757	9580
155	1767	9560
156	1776	9539
157	1785	9513
158	1795	9496
159	1804	9472
160	1815	9460
161	1824	9439
162	1832	9408
163	1841	9385
164	1848	9354
165	1857	9331
166	1867	9314
167	1876	9293
168	1884	9267
169	1894	9247
170	1902	9220
171	1912	9207
172	1921	9183
173	1929	9159
174	1937	9135
175	1945	9108
176	1953	9084
177	1966	9079
178	1976	9063
179	1984	9040
180	1993	9019
181	2000	8990
182	2008	8967
183	2016	8941
184	2024	8919
185	2031	8891
186	2039	8868
187	2048	8848
188	2056	8826
189	2064	8801
190	2073	8784
191	2084	8772
192	2092	8749
193	2099	8723
194	2108	8702
195	2116	8681
196	2125	8662
197	2133	8640
198	2140	8617
199	2149	8597
200	2156	8573
201	2164	8549
202	2172	8529
203	2180	8506
204	2188	8487
205	2202	8489
206	2220	8504
207	2229	8488
208	2239	8475
209	2250	8464
210	2258	8446
211	2270	8439
212	2278	8419
213	2287	8401
214	2295	8381
215	2305	8367
216	2312	8345
217	2320	8325
218	2329	8306
219	2337	8285
220	2345	8266
221	2352	8243
222	2359	8220
223	2368	8204
224	2375	8183
225	2383	8162
